Date,Location,pH_Level,Turbidity_NTU,Viral_Load_cp_ml,Antibiotics_ng_L
2026-06-26,Maple Mess,6.9,11.43,63.68,20.96
2026-06-26,North Academic Block,7.25,3.07,72.74,21.09
2026-06-26,South Academic Block,7.41,7.87,58.76,16.64
2026-06-27,Surajtal,7.06,4.66,53.76,24.26
2026-06-27,Dashir,6.63,7.59,53.0,30.0
2026-06-27,Gauri Kund,7.37,6.54,65.25,28.23
2026-06-27,Suvalsar,7.72,4.97,74.12,15.57
2026-06-27,Vyas Kund,7.85,5.87,83.05,12.59
2026-06-27,Cedar Mess,7.18,11.16,95.49,23.24
2026-06-27,Maple Mess,6.93,12.61,106.19,10.06
2026-06-27,North Academic Block,7.51,5.36,83.29,21.96
2026-06-27,South Academic Block,7.4,6.08,47.38,14.39
2026-06-28,Surajtal,7.04,4.76,94.5,11.23
2026-06-28,Dashir,7.29,5.06,104.59,17.91
2026-06-28,Gauri Kund,7.21,4.79,74.07,27.01
2026-06-28,Suvalsar,7.61,6.63,104.08,23.47
2026-06-28,Vyas Kund,7.15,4.9,92.51,16.86
2026-06-28,Cedar Mess,7.27,9.97,87.28,13.75
2026-06-28,Maple Mess,7.06,15.77,67.68,23.79
2026-06-28,North Academic Block,7.46,5.79,75.39,9.4
2026-06-28,South Academic Block,6.96,7.9,90.77,19.62
2026-06-29,Surajtal,6.92,5.19,80.26,19.73
2026-06-29,Dashir,6.83,5.28,98.38,18.31
2026-06-29,Gauri Kund,6.6,5.48,54.04,21.57
2026-06-29,Suvalsar,6.91,5.77,91.95,27.23
2026-06-29,Vyas Kund,7.27,8.7,98.26,22.83
2026-06-29,Cedar Mess,7.34,14.7,102.85,20.62
2026-06-29,Maple Mess,7.39,10.83,69.4,21.4
2026-06-29,North Academic Block,7.25,8.02,75.43,23.99
2026-06-29,South Academic Block,7.27,7.81,114.84,13.63
2026-06-30,Surajtal,7.36,5.65,105.69,30.01
2026-06-30,Dashir,7.32,7.87,86.58,17.11
2026-06-30,Gauri Kund,7.53,7.12,96.56,29.9
2026-06-30,Suvalsar,7.39,6.61,77.44,21.14
2026-06-30,Vyas Kund,6.9,6.23,87.27,20.2
2026-06-30,Cedar Mess,6.97,10.51,66.43,16.23
2026-06-30,Maple Mess,7.19,13.79,72.39,16.21
2026-06-30,North Academic Block,7.48,7.28,68.06,20.13
2026-06-30,South Academic Block,7.2,5.95,79.59,20.47
2026-07-01,Surajtal,7.13,9.14,83.39,26.33
2026-07-01,Dashir,7.19,8.0,117.18,19.47
2026-07-01,Gauri Kund,7.61,7.42,83.85,22.51
2026-07-01,Suvalsar,7.21,6.26,75.53,19.81
2026-07-01,Vyas Kund,6.87,6.77,82.9,20.5
2026-07-01,Cedar Mess,7.43,10.87,79.97,26.47
2026-07-01,Maple Mess,6.93,14.04,84.0,18.96
2026-07-01,North Academic Block,7.42,4.63,71.9,30.74
2026-07-01,South Academic Block,7.02,7.18,89.14,10.86
2026-07-02,Surajtal,6.81,9.08,93.93,22.56
2026-07-02,Dashir,7.43,6.17,116.1,16.55
2026-07-02,Gauri Kund,7.47,7.82,77.82,15.72
2026-07-02,Suvalsar,6.69,7.19,86.94,22.33
2026-07-02,Vyas Kund,6.95,8.42,55.72,17.05
2026-07-02,Cedar Mess,7.54,8.52,82.66,20.68
2026-07-02,Maple Mess,6.73,8.22,88.23,24.4
2026-07-02,North Academic Block,7.7,5.22,85.27,18.59
2026-07-02,South Academic Block,7.4,4.59,92.67,27.49
2026-07-03,Surajtal,6.36,6.74,76.32,23.8
2026-07-03,Dashir,7.26,5.82,84.83,16.72
2026-07-03,Gauri Kund,7.29,8.52,81.43,16.69
2026-07-03,Suvalsar,7.46,7.02,94.51,17.12
2026-07-03,Vyas Kund,7.73,7.06,73.06,23.26
2026-07-03,Cedar Mess,7.14,13.87,101.06,17.78
2026-07-03,Maple Mess,7.39,14.01,75.46,21.67
2026-07-03,North Academic Block,7.41,5.93,98.81,18.97
2026-07-03,South Academic Block,7.07,6.12,78.55,27.75
2026-07-04,Surajtal,7.43,5.31,89.58,19.19
2026-07-04,Dashir,6.85,8.04,83.34,13.93
2026-07-04,Gauri Kund,6.23,6.24,80.46,25.88
2026-07-04,Suvalsar,7.48,6.47,80.96,12.17
2026-07-04,Vyas Kund,7.29,7.71,56.21,21.14
2026-07-04,Cedar Mess,7.41,14.32,77.34,22.89
2026-07-04,Maple Mess,7.52,11.98,90.15,17.2
2026-07-04,North Academic Block,7.03,4.47,81.23,12.23
2026-07-04,South Academic Block,7.23,7.28,83.29,14.98
2026-07-05,Surajtal,7.04,5.24,71.31,20.11
2026-07-05,Dashir,6.86,9.64,71.29,30.39
2026-07-05,Gauri Kund,7.24,7.74,86.94,16.73
2026-07-05,Suvalsar,6.82,7.6,89.14,19.13
2026-07-05,Vyas Kund,7.26,6.18,76.03,22.66
2026-07-05,Cedar Mess,7.59,12.59,52.5,12.44
2026-07-05,Maple Mess,7.18,15.76,93.96,21.97
2026-07-05,North Academic Block,7.48,7.33,83.45,6.2
2026-07-05,South Academic Block,7.27,8.39,61.65,25.71
2026-07-06,Surajtal,7.47,6.5,79.59,10.76
2026-07-06,Dashir,7.45,5.78,76.9,28.67
2026-07-06,Gauri Kund,7.13,6.6,100.97,15.15
2026-07-06,Suvalsar,7.22,7.1,74.47,26.56
2026-07-06,Vyas Kund,6.92,7.74,77.84,23.86
2026-07-06,Cedar Mess,7.41,9.82,93.58,18.39
2026-07-06,Maple Mess,6.78,10.6,90.68,29.03
2026-07-06,North Academic Block,7.45,8.55,63.81,13.4
2026-07-06,South Academic Block,7.16,4.58,91.76,24.55
2026-07-07,Surajtal,6.87,6.73,97.1,14.03
2026-07-07,Dashir,7.59,6.44,99.4,24.57
2026-07-07,Gauri Kund,7.09,5.59,74.55,6.39
2026-07-07,Suvalsar,7.06,5.59,122.94,19.2
2026-07-07,Vyas Kund,7.09,4.78,92.77,25.42
2026-07-07,Cedar Mess,7.03,13.42,66.28,27.02
2026-07-07,Maple Mess,7.16,13.43,92.68,13.38
2026-07-07,North Academic Block,7.25,7.02,66.51,17.04
2026-07-07,South Academic Block,6.92,5.44,75.43,19.97
2026-07-08,Surajtal,7.29,6.01,98.25,18.15
2026-07-08,Dashir,7.23,6.09,79.74,20.91
2026-07-08,Gauri Kund,7.12,3.62,81.15,14.24
2026-07-08,Suvalsar,6.71,7.15,72.77,24.47
2026-07-08,Vyas Kund,7.4,6.95,86.85,22.42
2026-07-08,Cedar Mess,6.53,10.58,105.84,16.48
2026-07-08,Maple Mess,7.06,10.19,104.48,19.84
2026-07-08,North Academic Block,7.24,6.97,86.17,15.67
2026-07-08,South Academic Block,6.96,6.52,89.73,8.08
2026-07-09,Surajtal,7.34,8.83,73.18,19.73
2026-07-09,Dashir,7.49,4.45,62.21,24.89
2026-07-09,Gauri Kund,7.28,7.18,87.69,13.95
2026-07-09,Suvalsar,7.52,5.8,86.49,21.66
2026-07-09,Vyas Kund,6.73,5.99,74.87,15.27
2026-07-09,Cedar Mess,7.4,13.54,96.54,17.01
2026-07-09,Maple Mess,6.62,9.44,116.99,20.23
2026-07-09,North Academic Block,7.51,7.31,86.62,17.21
2026-07-09,South Academic Block,7.1,4.0,100.21,22.16
2026-07-10,Surajtal,7.18,6.52,80.35,27.0
2026-07-10,Dashir,7.21,5.95,67.81,27.13
2026-07-10,Gauri Kund,7.13,7.38,87.56,6.71
2026-07-10,Suvalsar,7.23,6.67,72.62,16.83
2026-07-10,Vyas Kund,7.22,6.44,86.33,21.92
2026-07-10,Cedar Mess,7.06,11.71,84.87,12.13
2026-07-10,Maple Mess,7.34,10.94,70.03,18.57
2026-07-10,North Academic Block,7.35,8.42,90.69,21.43
2026-07-10,South Academic Block,7.67,6.21,101.1,19.74
2026-07-11,Surajtal,7.01,7.06,83.15,23.97
2026-07-11,Dashir,7.17,7.43,82.47,12.94
2026-07-11,Gauri Kund,7.04,5.59,80.48,20.83
2026-07-11,Suvalsar,7.57,6.98,81.02,22.75
2026-07-11,Vyas Kund,7.15,6.13,76.04,20.69
2026-07-11,Cedar Mess,6.58,11.74,84.04,22.43
2026-07-11,Maple Mess,6.85,15.24,72.46,17.41
2026-07-11,North Academic Block,7.72,5.01,95.02,30.66
2026-07-11,South Academic Block,7.17,4.84,99.91,8.65
2026-07-12,Surajtal,7.24,7.97,129.86,10.17
2026-07-12,Dashir,7.66,6.06,95.65,10.82
2026-07-12,Gauri Kund,7.17,5.17,119.89,20.36
2026-07-12,Suvalsar,7.03,6.54,68.73,22.79
2026-07-12,Vyas Kund,7.34,8.5,100.12,14.4
2026-07-12,Cedar Mess,7.24,14.27,125.38,18.85
2026-07-12,Maple Mess,7.18,14.72,77.16,21.96
2026-07-12,North Academic Block,5.35,2.3,80.48,19.42
2026-07-12,South Academic Block,4.95,6.37,61.32,13.82
2026-07-13,Surajtal,7.35,7.5,183.79,12.66
2026-07-13,Dashir,6.89,5.79,79.93,20.58
2026-07-13,Gauri Kund,7.4,6.9,67.14,18.97
2026-07-13,Suvalsar,7.49,7.43,95.98,10.55
2026-07-13,Vyas Kund,7.04,6.99,67.91,18.2
2026-07-13,Cedar Mess,6.88,14.06,84.23,15.58
2026-07-13,Maple Mess,7.58,10.6,96.02,14.05
2026-07-13,North Academic Block,5.08,6.05,105.87,22.81
2026-07-13,South Academic Block,4.8,5.48,74.45,16.15
2026-07-14,Surajtal,7.99,8.12,258.41,13.07
2026-07-14,Dashir,7.44,5.15,108.19,25.22
2026-07-14,Gauri Kund,6.91,6.22,52.04,20.18
2026-07-14,Suvalsar,7.44,6.91,92.91,15.83
2026-07-14,Vyas Kund,7.2,6.19,100.9,14.65
2026-07-14,Cedar Mess,7.16,14.52,74.62,19.3
2026-07-14,Maple Mess,7.27,13.69,85.05,22.38
2026-07-14,North Academic Block,5.17,6.18,103.7,27.49
2026-07-14,South Academic Block,5.74,5.88,82.51,20.32
2026-07-15,Surajtal,7.29,7.32,352.27,186.38
2026-07-15,Dashir,6.63,4.7,86.85,20.0
2026-07-15,Gauri Kund,7.11,7.01,109.8,12.68
2026-07-15,Suvalsar,6.88,4.35,97.98,23.92
2026-07-15,Vyas Kund,7.49,7.13,61.81,20.1
2026-07-15,Cedar Mess,7.36,12.79,96.55,27.52
2026-07-15,Maple Mess,7.55,13.26,89.35,21.36
2026-07-15,North Academic Block,7.03,4.82,98.12,11.87
2026-07-15,South Academic Block,7.5,5.69,97.97,11.31
2026-07-16,Surajtal,7.69,7.7,442.69,118.81
2026-07-16,Dashir,7.45,7.13,84.17,18.41
2026-07-16,Gauri Kund,7.67,7.16,82.33,21.16
2026-07-16,Suvalsar,7.31,6.04,65.76,17.98
2026-07-16,Vyas Kund,7.44,6.11,80.64,26.12
2026-07-16,Cedar Mess,6.88,15.97,88.17,26.19
2026-07-16,Maple Mess,7.32,10.81,101.9,19.83
2026-07-16,North Academic Block,7.29,6.95,93.8,13.6
2026-07-16,South Academic Block,7.09,4.42,102.72,32.22
2026-07-17,Surajtal,7.07,6.48,528.66,158.34
2026-07-17,Dashir,7.47,7.82,109.12,17.06
2026-07-17,Gauri Kund,7.16,6.41,98.05,21.68
2026-07-17,Suvalsar,7.3,6.79,68.93,10.36
2026-07-17,Vyas Kund,7.15,5.65,102.69,18.81
2026-07-17,Cedar Mess,7.29,11.93,99.07,21.29
2026-07-17,Maple Mess,7.81,9.7,98.08,13.8
2026-07-17,North Academic Block,7.48,6.61,86.4,8.44
2026-07-17,South Academic Block,7.18,6.78,87.53,17.18
2026-07-18,Surajtal,7.05,5.65,823.32,132.83
2026-07-18,Dashir,7.68,8.13,90.39,22.9
2026-07-18,Gauri Kund,6.75,6.57,105.26,18.69
2026-07-18,Suvalsar,7.25,7.05,78.16,9.64
2026-07-18,Vyas Kund,7.32,6.51,99.81,21.7
2026-07-18,Cedar Mess,6.8,10.4,105.99,18.89
2026-07-18,Maple Mess,7.59,15.29,94.21,13.43
2026-07-18,North Academic Block,7.13,5.73,95.5,16.01
2026-07-18,South Academic Block,7.06,5.86,70.18,21.08
